YearCountry,Country,Year,Gold,Silver,Bronze,Total,Athletes,Population,GDP,Latitude,Longitude,Altitude(meters)
2020Argentina,Argentina,2020,0,1,2,3,174,45195774,637.43,,,
2020Armenia,Armenia,2020,0,2,2,4,17,2963243,11.54,,,
2020Australia,Australia,2020,17,7,22,46,478,25499884,1323.42,,,
2020Austria,Austria,2020,1,1,5,7,60,9006398,416.84,,,
2020Azerbaijan,Azerbaijan,2020,0,3,4,7,44,10139177,40.75,,,
2020Bahamas,Bahamas,2020,2,0,0,2,16,393244,12.16,,,
2020Bahrain,Bahrain,2020,0,1,0,1,32,1701575,35.43,,,
2020Belarus,Belarus,2020,1,3,3,7,101,9449323,54.46,,,
2020Belgium,Belgium,2020,3,1,3,7,121,11589623,494.76,,,
2020Bermuda,Bermuda,2020,1,0,0,1,2,63918,7.48,,,
2020Botswana,Botswana,2020,0,0,1,1,13,2351627,17.41,,,
2020Brazil,Brazil,2020,7,6,8,21,302,212559417,2053.59,,,
2020Bulgaria,Bulgaria,2020,3,1,2,6,42,6948445,58.22,,,
2020Burkina Faso,Burkina Faso,2020,0,0,1,1,7,20903273,12.32,,,
2020Canada,Canada,2020,7,6,11,24,370,37742154,1647.12,,,
2020China,China,2020,38,32,18,88,406,1439323776,12237.7,,,
2020Colombia,Colombia,2020,0,4,1,5,71,50882891,314.46,,,
2020Côte d'Ivoire,Côte d'Ivoire,2020,0,0,1,1,28,26378274,37.35,,,
2020Croatia,Croatia,2020,3,3,2,8,59,4105267,55.21,,,
2020Cuba,Cuba,2020,7,3,5,15,68,11326616,96.85,,,
2020Czech Republic,Czech Republic,2020,4,4,3,11,115,10551219,215.22,,,
2020Denmark,Denmark,2020,3,4,4,11,105,5792202,329.87,,,
2020Dominican Republic,Dominican Republic,2020,0,3,2,5,60,10847910,75.93,,,
2020Ecuador,Ecuador,2020,2,1,0,3,41,17643054,104.3,,,
2020Egypt,Egypt,2020,1,1,4,6,133,102334404,235.37,,,
2020Estonia,Estonia,2020,1,0,1,2,33,1326535,26.61,,,
2020Ethiopia,Ethiopia,2020,1,1,2,4,36,114963588,80.56,,,
2020Fiji,Fiji,2020,1,0,1,2,29,896445,5.06,,,
2020Finland,Finland,2020,0,0,2,2,30,5540720,252.3,,,
2020France,France,2020,10,12,11,33,398,65273511,2582.5,,,
2020Georgia,Georgia,2020,2,5,1,8,30,3989167,15.08,,,
2020Germany,Germany,2020,10,11,16,37,425,83783942,3693.2,,,
2020Ghana,Ghana,2020,0,0,1,1,14,31072940,59.0,,,
2020Great Britain,Great Britain,2020,22,21,22,65,376,65138232,2431.59,,,
2020Greece,Greece,2020,2,1,1,4,83,10423054,203.09,,,
2020Grenada,Grenada,2020,0,0,1,1,6,112523,1.13,,,
2020Hong Kong,Hong Kong,2020,1,2,3,6,42,7496981,341.45,,,
2020Hungary,Hungary,2020,6,7,7,20,166,9660351,139.76,,,
2020India,India,2020,1,2,4,7,125,1380004385,2650.73,,,
2020Indonesia,Indonesia,2020,1,1,3,5,28,273523615,1015.42,,,
2020Iran,Iran,2020,3,2,2,7,66,83992949,454.01,,,
2020Ireland,Ireland,2020,2,0,2,4,116,4937786,331.43,,,
2020Israel,Israel,2020,2,0,2,4,90,8655535,353.27,,,
2020Italy,Italy,2020,10,10,20,40,372,60461826,1943.84,,,
2020Jamaica,Jamaica,2020,4,1,4,9,50,2961167,14.78,,,
2020Japan,Japan,2020,27,14,17,58,552,126476461,4872.42,,,
2020Jordan,Jordan,2020,0,1,1,2,14,10203134,40.07,,,
2020Kazakhstan,Kazakhstan,2020,0,0,8,8,93,18776707,162.89,,,
2020Kenya,Kenya,2020,4,4,2,10,85,53771296,79.26,,,
2020Kosovo,Kosovo,2020,2,0,0,2,11,1859203,18.84,,,
2020Kuwait,Kuwait,2020,0,0,1,1,11,4270571,120.13,,,
2020Kyrgyzstan,Kyrgyzstan,2020,0,2,1,3,16,6524195,7.56,,,
2020Latvia,Latvia,2020,1,0,1,2,33,1886198,30.46,,,
2020Lithuania,Lithuania,2020,0,1,0,1,41,2722289,47.54,,,
2020Macedonia,Macedonia,2020,0,1,0,1,8,2078453,10.17,,,
2020Malaysia,Malaysia,2020,0,1,1,2,30,32365999,314.71,,,
2020Mexico,Mexico,2020,0,0,4,4,164,128932753,1150.89,,,
2020Moldova,Moldova,2020,0,0,1,1,19,4033963,8.13,,,
2020Mongolia,Mongolia,2020,0,1,3,4,43,3278290,11.43,,,
2020Morocco,Morocco,2020,1,0,0,1,50,36910560,109.71,,,
2020Namibia,Namibia,2020,0,1,0,1,11,2540905,13.25,,,
2020Netherlands,Netherlands,2020,10,12,14,36,274,17134872,830.57,,,
2020New Zealand,New Zealand,2020,7,6,7,20,223,4822233,204.14,,,
2020Nigeria,Nigeria,2020,0,1,1,2,52,206139589,375.75,,,
2020Norway,Norway,2020,4,2,2,8,75,5421241,399.49,,,
2020Philippines,Philippines,2020,1,2,1,4,19,109581078,313.6,,,
2020Poland,Poland,2020,4,5,5,14,210,37846611,526.47,,,
2020Portugal,Portugal,2020,1,1,2,4,92,10196709,219.31,,,
2020Puerto Rico,Puerto Rico,2020,1,0,0,1,37,3474182,92.61,,,
2020Qatar,Qatar,2020,2,0,1,3,16,2881053,166.93,,,
2020Romania,Romania,2020,1,3,0,4,101,19237691,211.88,,,
2020San Marino,San Marino,2020,0,1,2,3,5,33931,1.63,,,
2020Saudi Arabia,Saudi Arabia,2020,0,1,0,1,29,34813871,686.74,,,
2020Serbia,Serbia,2020,3,1,5,9,86,8737371,41.43,,,
2020Slovakia,Slovakia,2020,1,2,1,4,41,5459642,95.62,,,
2020Slovenia,Slovenia,2020,3,1,1,5,53,2078938,48.77,,,
2020South Africa,South Africa,2020,1,2,0,3,177,59308690,348.87,,,
2020South Korea,South Korea,2020,6,4,10,20,236,51269185,1530.75,,,
2020Spain,Spain,2020,3,8,6,17,320,46754778,1314.31,,,
2020Sweden,Sweden,2020,3,6,0,9,134,10099265,535.61,,,
2020Switzerland,Switzerland,2020,3,4,6,13,106,8654622,678.97,,,
2020Syria,Syria,2020,0,0,1,1,6,18502413,52.58,,,
2020Taiwan,Taiwan,2020,2,4,6,12,59,23510000,466.0,,,
2020Thailand,Thailand,2020,1,0,1,2,42,69799978,455.3,,,
2020Tunisia,Tunisia,2020,1,1,0,2,63,11818619,39.95,,,
2020Turkey,Turkey,2020,2,2,9,13,108,84339067,851.55,,,
2020Turkmenistan,Turkmenistan,2020,0,1,0,1,9,6031200,37.93,,,
2020Uganda,Uganda,2020,2,1,1,4,21,45741007,26.0,,,
2020Ukraine,Ukraine,2020,1,6,12,19,155,43733762,112.15,,,
2020United States,United States,2020,39,41,33,113,613,331002651,19485.39,,,
2020Uzbekistan,Uzbekistan,2020,3,0,2,5,63,33469203,49.68,,,
2020Venezuela,Venezuela,2020,1,3,0,4,44,31108083,316.48,,,
2016United States,United States,2016,46,37,38,121,554,321418820,18036.65,,,
2016Great Britain,Great Britain,2016,27,23,17,67,366,65138232,2858.0,,,
2016China,China,2016,26,18,26,70,413,1371220000,11007.72,,,
2016Russia,Russia,2016,19,17,20,56,282,144096812,1310.21,,,
2016Germany,Germany,2016,17,10,15,42,425,81413145,3363.45,,,
2016Japan,Japan,2016,12,8,21,41,338,126958472,4123.26,,,
2016France,France,2016,10,18,14,42,399,66808385,2418.84,,,
2016South Korea,South Korea,2016,9,3,9,21,205,50617045,1377.87,,,
2016Italy,Italy,2016,8,12,8,28,314,60802085,1821.5,,,
2016Australia,Australia,2016,8,11,10,19,421,23781169,1339.14,,,
2016Netherlands,Netherlands,2016,8,7,4,19,242,16936520,750.28,,,
2016Hungary,Hungary,2016,8,3,4,15,160,9844686,121.72,,,
2016Brazil,Brazil,2016,7,6,6,19,465,207847528,1774.72,,,
2016Spain,Spain,2016,7,4,6,17,306,46418269,1199.06,,,
2016Kenya,Kenya,2016,6,6,1,13,89,46050302,63.4,,,
2016Jamaica,Jamaica,2016,6,3,2,11,68,2725941,14.26,,,
2016Croatia,Croatia,2016,5,3,2,10,87,4224404,48.73,,,
2016Cuba,Cuba,2016,5,2,4,11,120,11389562,91.81,,,
2016New Zealand,New Zealand,2016,4,9,5,18,199,4595700,173.75,,,
2016Canada,Canada,2016,4,3,15,22,314,35851774,1550.54,,,
2016Uzbekistan,Uzbekistan,2016,4,2,7,13,70,31299500,66.73,,,
2016Kazakhstan,Kazakhstan,2016,3,5,10,18,104,17544126,184.39,,,
2016Colombia,Colombia,2016,3,2,3,8,147,48228704,292.08,,,
2016Switzerland,Switzerland,2016,3,2,2,7,104,8286976,670.79,,,
2016Iran,Iran,2016,3,1,4,8,64,79109272,1594.08,,,
2016Greece,Greece,2016,3,1,2,6,95,10823732,194.85,,,
2016Argentina,Argentina,2016,3,1,0,4,213,43416755,583.17,,,
2016Denmark,Denmark,2016,2,6,7,15,122,5676002,295.09,,,
2016Sweden,Sweden,2016,2,6,3,11,152,9798871,495.62,,,
2016South Africa,South Africa,2016,2,6,2,10,137,54956920,314.57,,,
2016Ukraine,Ukraine,2016,2,5,4,11,203,45198200,95.59,,,
2016Serbia,Serbia,2016,2,4,2,8,103,7098247,37.16,,,
2016Poland,Poland,2016,2,3,6,11,243,37999494,477.07,,,
2016North Korea,North Korea,2016,2,3,2,7,35,25155317,16.68,,,
2016Belgium,Belgium,2016,2,2,2,6,108,11285721,455.09,,,
2016Thailand,Thailand,2016,2,2,2,6,54,67959359,395.17,,,
2016Slovakia,Slovakia,2016,2,2,0,4,51,5424050,87.26,,,
2016Georgia,Georgia,2016,2,1,4,7,39,3679000,13.97,,,
2016Azerbaijan,Azerbaijan,2016,1,7,10,18,56,9651349,53.05,,,
2016Belarus,Belarus,2016,1,4,4,9,121,9513000,54.61,,,
2016Turkey,Turkey,2016,1,3,4,8,103,78665830,717.88,,,
2016Armenia,Armenia,2016,1,3,0,4,33,3017712,10.53,,,
2016Czech Republic,Czech Republic,2016,1,2,7,10,105,10551219,185.16,,,
2016Ethiopia,Ethiopia,2016,1,2,5,8,34,99390750,61.54,,,
2016Slovenia,Slovenia,2016,1,2,1,4,61,2063768,42.77,,,
2016Indonesia,Indonesia,2016,1,2,0,3,28,257563815,861.93,,,
2016Romania,Romania,2016,1,1,2,4,97,19832389,177.95,,,
2016Bahrain,Bahrain,2016,1,1,0,2,35,1377237,31.13,,,
2016Vietnam,Vietnam,2016,1,1,0,2,23,91703800,193.6,,,
2016Chinese Taipei,Chinese Taipei,2016,1,0,2,3,60,23618200,544.9,,,
2016Bahamas,Bahamas,2016,1,0,1,2,28,388019,8.85,,,
2016Ivory Coast,Ivory Coast,2016,1,0,1,2,12,22701556,31.76,,,
2016Kuwait,Kuwait,2016,1,0,1,2,9,3956875,109.42,,,
2016Fiji,Fiji,2016,1,0,0,1,51,892145,4.43,,,
2016Jordan,Jordan,2016,1,0,0,1,8,7594547,37.52,,,
2016Kosovo,Kosovo,2016,1,0,0,1,8,1777557,18.15,,,
2016Puerto Rico,Puerto Rico,2016,1,0,0,1,42,3474182,133.35,,,
2016Singapore,Singapore,2016,1,0,0,1,25,5535002,292.74,,,
2016Tajikistan,Tajikistan,2016,1,0,0,1,7,8481855,7.85,,,
2016Malaysia,Malaysia,2016,0,4,1,5,32,30331007,296.28,,,
2016Mexico,Mexico,2016,0,3,2,5,125,127017224,1143.79,,,
2016Venezuela,Venezuela,2016,0,2,1,3,87,31108083,282.83,,,
2016Algeria,Algeria,2016,0,2,0,2,64,39666519,166.84,,,
2016Ireland,Ireland,2016,0,2,0,2,77,4640703,283.7,,,
2016Lithuania,Lithuania,2016,0,1,3,4,67,2910199,41.17,,,
2016Bulgaria,Bulgaria,2016,0,1,2,3,51,7177991,50.2,,,
2016India,India,2016,0,1,1,2,117,1311050527,2095.4,,,
2016Mongolia,Mongolia,2016,0,1,1,2,43,2959134,11.74,,,
2016Burundi,Burundi,2016,0,1,0,1,9,11178921,3.1,,,
2016Grenada,Grenada,2016,0,1,0,1,6,106825,0.98,,,
2016Niger,Niger,2016,0,1,0,1,6,19899120,7.14,,,
2016Philippines,Philippines,2016,0,1,0,1,13,100699395,292.45,,,
2016Qatar,Qatar,2016,0,1,0,1,38,2235355,164.64,,,
2016Norway,Norway,2016,0,0,4,4,62,5195921,386.58,,,
2016Egypt,Egypt,2016,0,0,3,3,120,91508084,330.78,,,
2016Tunisia,Tunisia,2016,0,0,3,3,61,11107800,43.02,,,
2016Israel,Israel,2016,0,0,2,2,48,8380400,299.42,,,
2016Austria,Austria,2016,0,0,1,1,71,8611088,376.95,,,
2016Dominican Republic,Dominican Republic,2016,0,0,1,1,29,10528391,68.1,,,
2016Estonia,Estonia,2016,0,0,1,1,45,1311998,22.46,,,
2016Finland,Finland,2016,0,0,1,1,56,5482013,231.95,,,
2016Morocco,Morocco,2016,0,0,1,1,51,34377511,98.95,,,
2016Nigeria,Nigeria,2016,0,0,1,1,75,182201962,481.07,,,
2016Portugal,Portugal,2016,0,0,1,1,92,10348648,198.92,,,
2016Trinidad and Tobago,Trinidad and Tobago,2016,0,0,1,1,32,1360088,23.56,,,
2016United Arab Emirates,United Arab Emirates,2016,0,0,1,1,13,9156963,370.3,,,
2012Afghanistan,Afghanistan,2012,0,0,1,1,6,25500100,20.34,33.7680065,66.2385139,2148.0
2012Algeria,Algeria,2012,1,0,0,1,42,37100000,188.68,28.0000272,2.9999825,709.0
2012Argentina,Argentina,2012,1,1,2,4,137,40117096,445.99,-34.9964963,-64.9672817,270.0
2012Armenia,Armenia,2012,0,1,2,3,25,3275700,10.25,40.7696272,44.6736646,2359.0
2012Australia,Australia,2012,7,16,12,35,410,22823882,1371.76,-24.7761086,134.755,284.0
2012Azerbaijan,Azerbaijan,2012,2,2,6,10,53,9235100,63.4,40.3936294,47.7872508,0.0
2012Bahamas,Bahamas,2012,1,0,0,1,24,353658,7.79,24.7736546,-78.0000547,7.0
2012Bahrain,Bahrain,2012,0,0,1,1,12,1234571,21.9,26.1551249,50.5344606,20.0
2012Belarus,Belarus,2012,3,5,5,13,165,9460000,55.14,53.4250605,27.6971358,174.0
2012Belgium,Belgium,2012,0,1,2,3,115,10839905,511.53,50.6402809,4.6667145,144.0
2012Botswana,Botswana,2012,0,1,0,1,4,2024904,17.63,-23.1681782,24.5928742,1004.0
2012Brazil,Brazil,2012,3,5,9,17,258,193946886,2476.65,-10.333333,-53.2,305.0
2012Bulgaria,Bulgaria,2012,0,1,1,2,63,7364570,53.51,42.6073975,25.4856617,360.0
2012Cameroon,Cameroon,2012,0,0,1,1,277,34990400,29.12,4.6125522,13.153811,667.0
2012Canada,Canada,2012,1,5,12,18,396,1347350000,1736.05,61.0666922,-107.991707,431.0
2012China,China,2012,38,27,22,87,104,46803000,7298.1,35.000074,104.999927,1958.0
2012Colombia,Colombia,2012,1,3,4,8,108,4290612,331.65,2.8894434,-73.783892,255.0
2012Croatia,Croatia,2012,3,1,2,6,110,11247925,63.85,45.5643442,17.0118954,117.0
2012Cuba,Cuba,2012,5,3,6,14,13,838897,60.81,23.0131338,-80.8328748,16.0
2012Cyprus,Cyprus,2012,0,1,0,1,133,10507566,24.69,34.9823018,33.1451285,609.0
2012Czech Republic,Czech Republic,2012,4,3,3,10,113,5587085,215.22,50.4251688,14.256744,384.0
2012Denmark,Denmark,2012,2,4,3,9,35,9445281,332.68,55.670249,10.333328,0.0
2012Dominican Republic,Dominican Republic,2012,1,1,0,2,113,82886000,55.61,18.892313,-70.086479,211.0
2012Egypt,Egypt,2012,0,2,0,2,33,1294236,229.53,26.254049,29.267547,251.0
2012Estonia,Estonia,2012,0,1,1,2,35,84320987,22.18,58.752378,25.331908,59.0
2012Ethiopia,Ethiopia,2012,3,1,3,7,55,5425320,31.71,10.21167,38.65212,2326.0
2012Finland,Finland,2012,0,1,2,3,330,63350000,266.07,63.2467777,25.9209164,116.0
2012France,France,2012,11,11,12,34,24,1564000,2773.03,46.603354,1.888334,211.0
2012Gabon,Gabon,2012,0,1,0,1,35,4497600,17.05,-0.899969,11.68997,553.0
2012Georgia,Georgia,2012,1,3,3,7,392,81857000,14.37,41.680971,44.028738,1798.0
2012Germany,Germany,2012,11,19,14,44,541,62262000,3570.56,51.08342,10.423447,346.0
2012Great Britain,Great Britain,2012,29,17,19,65,104,10787690,2431.59,54.315362,-1.918023,180.0
2012Greece,Greece,2012,0,0,2,2,10,110821,298.73,38.995368,21.987713,878.0
2012Grenada,Grenada,2012,1,0,0,1,19,14713763,0.82,12.136037,-61.690404,414.0
2012Guatemala,Guatemala,2012,0,1,0,1,42,7103700,46.9,15.635609,-89.898809,1016.0
2012Hong Kong,Hong Kong,2012,0,0,1,1,157,9957731,243.67,22.279328,114.162813,123.0
2012Hungary,Hungary,2012,8,4,5,17,83,1210193422,140.03,47.181759,19.506094,134.0
2012India,India,2012,0,2,4,6,22,237641326,1847.98,22.351115,78.667743,1015.0
2012Indonesia,Indonesia,2012,0,1,1,2,53,75149669,846.83,-2.483383,117.890285,0.0
2012Iran,Iran,2012,4,5,3,12,66,4588252,86.53,32.647531,54.564352,1327.0
2012Ireland,Ireland,2012,1,1,3,5,285,60849247,217.28,52.865196,-7.97946,158.0
2012Italy,Italy,2012,8,9,11,28,50,3709300,2194.75,42.638426,12.674297,813.0
2012Jamaica,Jamaica,2012,4,4,4,12,293,127530000,15.07,18.185051,-77.394769,599.0
2012Japan,Japan,2012,7,14,17,38,114,16815000,5867.15,36.574844,139.239418,1039.0
2012Kazakhstan,Kazakhstan,2012,7,1,5,13,47,38610097,186.2,47.228609,65.20932,158.0
2012Kenya,Kenya,2012,2,4,5,11,11,3582054,33.62,1.441968,38.431398,321.0
2012Kuwait,Kuwait,2012,0,0,1,1,46,2070371,176.59,29.273396,47.497948,164.0
2012Latvia,Latvia,2012,1,0,1,2,62,3180394,28.25,56.840649,24.753765,59.0
2012Lithuania,Lithuania,2012,2,1,2,5,30,29570000,42.73,55.35,23.75,75.0
2012Malaysia,Malaysia,2012,0,1,1,2,102,112336538,278.67,4.569375,102.265682,851.0
2012Mexico,Mexico,2012,1,3,3,7,22,3559500,1155.32,22.500049,-100.000037,1180.0
2012Moldova,Moldova,2012,0,0,2,2,29,2736800,7.0,47.287961,28.567094,134.0
2012Mongolia,Mongolia,2012,0,2,3,5,33,620029,8.56,46.825039,103.849974,1801.0
2012Montenegro,Montenegro,2012,0,1,0,1,67,32741100,4.55,42.986885,19.518099,937.0
2012Morocco,Morocco,2012,0,0,1,1,175,16765558,100.22,31.172821,-7.336248,1983.0
2012Netherlands,Netherlands,2012,6,6,8,20,184,4446900,836.26,52.50017,5.748082,-2.0
2012New Zealand,New Zealand,2012,5,3,5,13,51,24554000,130.68,-41.500083,172.834408,392.0
2012North Korea,North Korea,2012,4,0,2,6,64,5050600,22.0,40.373661,127.087042,1711.0
2012Norway,Norway,2012,2,1,1,4,218,38538447,485.8,60.500021,9.099972,892.0
2012Poland,Poland,2012,2,2,6,10,77,10561614,514.5,52.215933,19.134422,118.0
2012Portugal,Portugal,2012,0,1,0,1,25,3706690,237.52,40.033263,-7.889626,417.0
2012Puerto Rico,Puerto Rico,2012,0,1,1,2,12,1757540,92.61,18.221415,-66.413282,618.0
2012Qatar,Qatar,2012,0,0,2,2,103,19042936,172.98,25.333698,51.22953,43.0
2012Romania,Romania,2012,2,5,2,9,436,143300000,179.79,45.985213,24.685923,496.0
2012Russia,Russia,2012,24,25,33,82,19,28376355,1857.77,64.686314,97.745306,599.0
2012Saudi Arabia,Saudi Arabia,2012,0,0,1,1,116,7120666,576.82,25.624262,42.352833,792.0
2012Serbia,Serbia,2012,1,1,2,4,23,5312400,45.04,44.153412,20.55144,770.0
2012Singapore,Singapore,2012,0,0,2,2,47,5445324,239.7,1.357107,103.819499,40.0
2012Slovakia,Slovakia,2012,0,1,3,4,65,2061770,95.99,48.741152,19.452865,884.0
2012Slovenia,Slovenia,2012,1,1,2,4,125,51770560,49.54,45.813311,14.480837,734.0
